epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.066,1.40468,17.2777,0.00899,0.00031,0.19231,0.0023,0.00097,1.17313,20.0911,0.01,0.000656085,0.000656085,0.000656085
2,633.621,1.39117,12.2612,0.00918,0.00126,0.76923,0.01996,0.01067,1.49145,14.7262,0.01294,0.00129656,0.00129656,0.00129656
3,977.88,1.55351,8.27646,0.01089,0.27378,0.13462,0.14487,0.05772,1.84008,8.28575,0.01543,0.00191064,0.00191064,0.00191064
4,1388.52,1.65014,5.88767,0.011,0.09537,0.05769,0.03068,0.0123,1.59131,7.67782,0.01256,0.0018812,0.0018812,0.0018812
5,1849.4,1.59594,4.44908,0.01003,0.1373,0.15385,0.08155,0.0413,1.68043,6.83241,0.01345,0.0018416,0.0018416,0.0018416
6,2305.67,1.71884,3.95438,0.0126,0.14283,0.13462,0.06514,0.0368,1.57961,5.10808,0.01244,0.001802,0.001802,0.001802
7,2749.14,1.69641,3.56935,0.01165,0.29134,0.09615,0.07194,0.04296,2.12225,4.52765,0.01845,0.0017624,0.0017624,0.0017624
8,3181.74,1.62275,3.19488,0.01158,0.29849,0.21154,0.1522,0.05769,1.65702,3.85215,0.01419,0.0017228,0.0017228,0.0017228
9,3590.83,1.58704,2.89666,0.01031,0.36103,0.17388,0.15454,0.08988,1.687,3.7278,0.01379,0.0016832,0.0016832,0.0016832
10,4007.5,1.69156,2.70534,0.01177,0.37238,0.17308,0.18309,0.10293,1.68989,3.57817,0.01401,0.0016436,0.0016436,0.0016436
11,4418.3,1.57669,2.62869,0.01149,0.42958,0.3332,0.28584,0.15247,1.83649,3.05406,0.01547,0.001604,0.001604,0.001604
12,4780.37,1.6292,2.44933,0.01151,0.41668,0.11538,0.12793,0.07266,1.65204,3.51442,0.01361,0.0015644,0.0015644,0.0015644
13,5169.42,1.59273,2.32797,0.01125,0.20587,0.34901,0.21137,0.11805,1.6426,4.60764,0.01373,0.0015248,0.0015248,0.0015248
14,5562.32,1.51239,2.15648,0.00979,0.68071,0.28705,0.3759,0.17828,1.85011,3.14641,0.01491,0.0014852,0.0014852,0.0014852
15,5957.44,1.49088,2.16124,0.0098,0.52971,0.34615,0.34729,0.15695,1.92996,2.87786,0.0154,0.0014456,0.0014456,0.0014456
16,6346.11,1.45157,1.99766,0.00948,0.64734,0.42361,0.44563,0.26654,1.67744,2.72122,0.01311,0.001406,0.001406,0.001406
17,6736.76,1.40126,1.79324,0.00878,0.68744,0.32692,0.41732,0.24738,1.65404,2.5828,0.01329,0.0013664,0.0013664,0.0013664
18,7127.03,1.40996,1.792,0.01003,0.52951,0.38967,0.42955,0.25189,1.57331,2.74182,0.01209,0.0013268,0.0013268,0.0013268
19,7518.83,1.35529,1.68611,0.00884,0.31573,0.43485,0.27347,0.1557,1.56499,2.85615,0.01256,0.0012872,0.0012872,0.0012872
20,7910.93,1.38721,1.7332,0.00956,0.51626,0.38462,0.39105,0.22102,1.57219,2.71248,0.01297,0.0012476,0.0012476,0.0012476
21,8299.95,1.29667,1.61256,0.00936,0.62055,0.36538,0.42041,0.22359,1.48493,2.54097,0.01255,0.001208,0.001208,0.001208
22,8692.58,1.29683,1.60231,0.00927,0.67187,0.39393,0.45675,0.27558,1.50054,2.45009,0.0122,0.0011684,0.0011684,0.0011684
23,9087.52,1.21939,1.48411,0.00834,0.46976,0.46154,0.41807,0.22022,1.61535,2.83964,0.01392,0.0011288,0.0011288,0.0011288
24,9480.87,1.27993,1.50291,0.00798,0.60149,0.44231,0.4794,0.27619,1.71695,2.18876,0.0142,0.0010892,0.0010892,0.0010892
25,9874.04,1.22126,1.34472,0.00742,0.81732,0.36538,0.44464,0.26227,1.56595,2.53003,0.01331,0.0010496,0.0010496,0.0010496
26,10266.2,1.26802,1.41388,0.00795,0.65784,0.48077,0.51391,0.28386,1.65007,2.51981,0.01442,0.00101,0.00101,0.00101
27,10659.4,1.25619,1.32402,0.0089,0.70817,0.46676,0.49027,0.30112,1.58363,2.46883,0.01295,0.0009704,0.0009704,0.0009704
28,11053,1.21166,1.35529,0.0083,0.81253,0.48077,0.54884,0.32451,1.52175,2.44618,0.01354,0.0009308,0.0009308,0.0009308
29,11446.6,1.20632,1.25805,0.00783,0.69258,0.5,0.4939,0.26892,1.56528,2.52883,0.01366,0.0008912,0.0008912,0.0008912
30,11843.6,1.14737,1.19157,0.00743,0.73001,0.46154,0.54985,0.33871,1.43906,2.44414,0.01187,0.0008516,0.0008516,0.0008516
31,12234.1,1.11605,1.1343,0.00713,0.8174,0.43059,0.51486,0.28811,1.7548,2.68166,0.01499,0.000812,0.000812,0.000812
32,12622.9,1.17725,1.17732,0.00807,0.82312,0.40385,0.51859,0.28901,1.68588,2.49126,0.01426,0.0007724,0.0007724,0.0007724
33,13014.9,1.07946,1.04273,0.00678,0.73719,0.48077,0.53733,0.31417,1.59071,2.66844,0.01368,0.0007328,0.0007328,0.0007328
