epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,750.207,1.4267,7.46944,0.00955,0.38937,0.11538,0.10034,0.04137,1.94214,5.73662,0.01623,0.000656085,0.000656085,0.000656085
2,1504.61,1.81294,3.7432,0.01334,0.03994,0.01923,0.00393,0.00248,3.15483,5.74098,0.02929,0.00129656,0.00129656,0.00129656
3,2240.52,1.94975,3.361,0.01534,0.02785,0.1157,0.016,0.00533,2.51716,4.36708,0.0229,0.00191064,0.00191064,0.00191064
4,2980.7,2.08387,3.33096,0.0158,0.05024,0.05769,0.01857,0.00462,2.50718,4.26038,0.02056,0.0018812,0.0018812,0.0018812
5,3724.58,2.18031,3.24022,0.01512,0.27803,0.11538,0.0806,0.0308,2.38564,3.38628,0.02112,0.0018416,0.0018416,0.0018416
6,4465.51,2.1024,3.26466,0.01603,0.46041,0.19231,0.1411,0.0557,2.31347,3.84209,0.02038,0.001802,0.001802,0.001802
7,5205.27,1.9975,2.97025,0.01585,0.69628,0.11538,0.11782,0.05139,2.3314,4.7093,0.01941,0.0017624,0.0017624,0.0017624
8,5942.51,1.89821,2.83894,0.01466,0.36642,0.21154,0.17852,0.0793,2.01207,3.83613,0.01802,0.0017228,0.0017228,0.0017228
9,6671.68,1.88945,2.57696,0.01397,0.29393,0.21154,0.20409,0.08689,2.04003,3.14435,0.01743,0.0016832,0.0016832,0.0016832
10,7403.78,1.86479,2.47475,0.01414,0.60706,0.21154,0.2482,0.1162,1.99045,3.47707,0.01742,0.0016436,0.0016436,0.0016436
11,8138.19,1.81284,2.40104,0.01391,0.43845,0.23077,0.19079,0.08752,2.2077,3.46805,0.01881,0.001604,0.001604,0.001604
12,8879.49,1.89781,2.35214,0.01448,0.38813,0.21974,0.21531,0.08708,2.11773,3.36675,0.01765,0.0015644,0.0015644,0.0015644
13,9625.8,1.75602,2.37078,0.01355,0.29445,0.19231,0.18413,0.06698,1.93524,3.93496,0.01677,0.0015248,0.0015248,0.0015248
14,10356.1,1.6713,2.07525,0.01207,0.57306,0.30982,0.30496,0.13945,2.03104,2.85319,0.01684,0.0014852,0.0014852,0.0014852
15,11091,1.72467,1.99183,0.01213,0.50563,0.38462,0.34152,0.17531,1.80752,2.37462,0.01588,0.0014456,0.0014456,0.0014456
16,11826,1.6302,2.05645,0.01135,0.52355,0.32692,0.33128,0.16485,1.90306,2.90979,0.01668,0.001406,0.001406,0.001406
17,12567.1,1.56667,1.85018,0.01098,0.5895,0.34615,0.37409,0.18797,1.73722,2.39998,0.01371,0.0013664,0.0013664,0.0013664
18,13309.1,1.60513,1.80563,0.01234,0.48888,0.38462,0.3778,0.19069,1.91069,2.83215,0.01496,0.0013268,0.0013268,0.0013268
19,14035,1.52084,1.72294,0.01086,0.65299,0.40385,0.42973,0.19059,1.6907,2.51737,0.01418,0.0012872,0.0012872,0.0012872
20,14785,1.60675,1.78114,0.01232,0.91712,0.32692,0.42984,0.22474,1.69818,2.66745,0.01412,0.0012476,0.0012476,0.0012476
21,15518.6,1.48146,1.53178,0.01116,0.69739,0.40385,0.465,0.22092,1.85441,2.48575,0.01591,0.001208,0.001208,0.001208
22,16257.4,1.5315,1.61596,0.01218,0.82222,0.30769,0.4288,0.22294,1.68466,2.44693,0.01483,0.0011684,0.0011684,0.0011684
23,17002.2,1.43189,1.53924,0.01037,0.62081,0.51923,0.50408,0.28574,1.6802,2.24328,0.01381,0.0011288,0.0011288,0.0011288
24,17728.2,1.39638,1.4796,0.00996,0.64246,0.48385,0.52323,0.24154,1.85071,2.42532,0.01449,0.0010892,0.0010892,0.0010892
25,18461.6,1.37165,1.30029,0.00927,0.74744,0.42308,0.45441,0.26079,1.60836,2.58053,0.01404,0.0010496,0.0010496,0.0010496
26,19204.4,1.3708,1.35551,0.01019,0.73497,0.37349,0.47895,0.23864,1.6584,2.43593,0.01368,0.00101,0.00101,0.00101
27,19936,1.32064,1.27721,0.00983,0.67147,0.46154,0.47256,0.22675,1.72506,2.54167,0.0146,0.0009704,0.0009704,0.0009704
28,20671.5,1.33717,1.27377,0.00977,0.66153,0.5,0.51929,0.32031,1.57738,2.46434,0.0136,0.0009308,0.0009308,0.0009308
29,21395.8,1.34962,1.26246,0.00952,0.75367,0.5,0.57053,0.34176,1.69267,2.21641,0.01408,0.0008912,0.0008912,0.0008912
30,22134.1,1.29677,1.23632,0.00948,0.87089,0.46154,0.57069,0.3302,1.65583,2.53508,0.01531,0.0008516,0.0008516,0.0008516
31,22879,1.27208,1.20786,0.00928,0.86894,0.44231,0.55076,0.29958,1.66991,2.25288,0.01448,0.000812,0.000812,0.000812
32,23608.7,1.29878,1.11101,0.00955,0.68016,0.44231,0.53915,0.29767,1.47763,2.64068,0.01251,0.0007724,0.0007724,0.0007724
33,24336,1.18517,1.14981,0.00797,0.7394,0.44231,0.54772,0.32139,1.5234,2.74455,0.01368,0.0007328,0.0007328,0.0007328
34,25072.7,1.11991,1.07053,0.00771,0.88888,0.48077,0.56111,0.30461,1.67271,2.6517,0.01402,0.0006932,0.0006932,0.0006932
35,25804,1.15631,1.04324,0.00759,0.88288,0.43509,0.56298,0.34445,1.49669,2.38037,0.01227,0.0006536,0.0006536,0.0006536
